id,sender,count,average_response_time
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,96,923
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/d548b1eb-a4dd-4ff4-9ec2-157768815a86,95,919
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/9458e644-54cc-4411-879e-8c880b4938ff,96,904
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/82d99797-db13-4191-b0d3-af5d66d65be0,80,972
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,118,928
vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,105,878
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/9458e644-54cc-4411-879e-8c880b4938ff,88,822
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,110,912
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,82,807
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,104,833
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/82d99797-db13-4191-b0d3-af5d66d65be0,73,877
vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,vehicle/d548b1eb-a4dd-4ff4-9ec2-157768815a86,84,839
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,98,892
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/82d99797-db13-4191-b0d3-af5d66d65be0,74,966
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,101,922
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,109,1005
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/9458e644-54cc-4411-879e-8c880b4938ff,89,924
vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,vehicle/d548b1eb-a4dd-4ff4-9ec2-157768815a86,85,937
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/d548b1eb-a4dd-4ff4-9ec2-157768815a86,91,902
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/82d99797-db13-4191-b0d3-af5d66d65be0,78,935
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/0741afe2-0c76-4751-bc5f-0d6d2efc6894,115,976
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/c3e90bcd-1e84-454a-b945-fe0417951d9e,102,856
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/9458e644-54cc-4411-879e-8c880b4938ff,93,875
vehicle/b77e7897-7396-406e-bd3a-3c327f5b7f1e,vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,90,875
vehicle/82d99797-db13-4191-b0d3-af5d66d65be0,vehicle/5e67cc57-9306-4638-a32e-2ea8242e7ff2,91,925
